RECORDID,RECORDNAME,RECORDTYPEALIAS,DATESTRING,COMMENTS,DATESTATUS,ACTION,ACTIONNUMBER,PROJECTDECISION
2004.0125D,555 VALLEY ST,Discretionary Review - Mandatory (DRM),6/24/2004,CPC:  Took DR & approved per staff recomm,6/24/2004,Approved,,Approved
2004.0125D_4,555 VALLEY ST,Discretionary Review - Public Initiated (DRP),6/24/2004,CPC:  Took DR & approved per staff recomm,6/24/2004,Approved,,Approved
2004.0126D,561 VALLEY ST,Discretionary Review - Public Initiated (DRP),6/24/2004,CPC:  Took DR & approved per staff recomm,6/24/2004,Approved,,Approved
2004.0126D_4,561 VALLEY ST,Discretionary Review - Public Initiated (DRP),6/24/2004,CPC:  Took DR & approved per staff recomm,6/24/2004,Approved,,Approved
2004.0129C,835 HYDE ST,Conditional Use Authorization (CUA),12/9/2004,CPC:  Adopted with Conditions:  16903,12/9/2004,Adopted,,Approved
2004.0130C,1353 BUSH ST,Conditional Use Authorization (CUA),7/14/2005,CPC:  Approved with Conditions:  17063,7/14/2005,Approved,,Approved
2004.0140C,494 14TH ST,Conditional Use Authorization (CUA),4/15/2004,CPC:  APPR/WC:  16768,4/15/2004,Approved,16768,Approved
2004.0141C,100 FELTON ST,Conditional Use Authorization (CUA),10/28/2004,CPC:  APPR/WC:  16877,10/28/2004,Approved,16877,Approved
2004.0144C,4100 24TH STREET,Conditional Use Authorization (CUA),8/19/2013,DCP:  Withdrawn,8/19/2013,Withdawn,,Withdawn
2004.0150C,1450 LOMBARD ST,Conditional Use Authorization (CUA),5/26/2005,CPC:  Approved:  17026,5/26/2005,Approved,17026,Approved
2004.0151D,2250 JACKSON ST,Discretionary Review - Mandatory (DRM),10/14/2004,CPC:  PROJECT'S APPROVED AS PROPOSED,10/14/2004,Approved,,Approved
2004.0157C,505 SHOTWELL ST,Conditional Use Authorization (CUA),3/29/2005,CPC:  Withdrawn,3/29/2005,Withdawn,,Withdawn
2004.0163D,2244 STEINER ST,Discretionary Review - Mandatory (DRM),6/3/2004,CPC:  COM. DID NOT TAKE DR / APPROVED,6/3/2004,Approved,,Approved
2004.0164D,571 MISSOURI ST,Discretionary Review - Mandatory (DRM),6/10/2004,CPC:  Approved.,6/10/2004,Approved,,Approved
2004.0165X,One Kearny Street,Downtown Exception-309 (DNX),7/13/2006,CPC:  APPR W/C:  17282,7/13/2006,Approved,17282,Approved
2004.0173A,1045 HAYES ST,Certificate of Appropriateness (COA),4/26/2004,DCP:  CofA signed by Acting Director,4/26/2004,Approved,,Approved
2004.0174D,2 ORD CT,Discretionary Review - Mandatory (DRM),4/8/2004,CPC:  Did not take DR & approved Project.,4/8/2004,Approved,,Approved
2004.0176C,1101-1123 Fillmore Street,Conditional Use Authorization (CUA),10/21/2004,CPC:  Approved:  16873,10/21/2004,Approved,16873,Approved
2004.0176C,1101-1123 Fillmore Street,Conditional Use Authorization (CUA),10/21/2004,CPC:  APPROVED WITH CONDITIONS:  16873,10/21/2004,Approved,,Approved
2004.0177A,600 COLUMBUS AV,Certificate of Appropriateness (COA),5/7/2004,DCP:  CofA signed by Acting Director,5/7/2004,Approved,,Approved
2004.0178D,2031 32ND AV,Discretionary Review - Public Initiated (DRP),9/21/2005,DCP:  CANCELLED,9/21/2005,Cancelled,,Cancelled
2004.0178D_4,2031 32ND AV,Discretionary Review - Mandatory (DRM),9/21/2005,DCP:  CANCELLED,9/21/2005,Cancelled,,Cancelled
2004.0178D_7,2031 32ND AV,Discretionary Review - Public Initiated (DRP),9/21/2005,DCP:  CANCELLED,9/21/2005,Cancelled,,Cancelled
2004.0182C,1135 EVANS AV,Conditional Use Authorization (CUA),10/14/2004,CPC:  APP/WC:  16870,10/14/2004,Approved,16870,Approved
2004.0185C,3995 ALEMANY BL,Conditional Use Authorization (CUA),5/6/2004,CPC:  Approved w/conditions:  16778,5/6/2004,Approved,,Approved
2004.0190A,260 GREEN ST,Certificate of Appropriateness (COA),4/5/2004,DCP:  Cof A signed by Acting Director,4/5/2004,Approved,,Approved
2004.0191A,1035 BATTERY ST,Certificate of Appropriateness (COA),3/22/2004,DCP:  C of A signed by Acting Director,3/22/2004,Approved,,Approved
2004.0193D,120 ALTA ST,Discretionary Review - Mandatory (DRM),4/8/2004,CPC:  approved Permit No. 2003.03.14.9831,4/8/2004,Approved,,Approved
2004.0198C,527 BALBOA ST,Conditional Use Authorization (CUA),9/23/2004,CPC:  Approved:  16861,9/23/2004,Approved,16861,Approved
2004.0201A,1338 FILBERT ST,Certificate of Appropriateness (COA),6/3/2004,DCP:  CofA signed by Acting Director,6/3/2004,Approved,,Approved
2004.0202D,880 PRESIDIO AVENUE,Discretionary Review - Public Initiated (DRP),5/27/2004,CPC:  APPROVED,5/27/2004,Approved,,Approved
2004.0202D_4,880 PRESIDIO AVENUE,Discretionary Review - Public Initiated (DRP),5/27/2004,CPC:  APPROVED,5/27/2004,Approved,,Approved
2004.0205C,1218 - 1226 LEAVENWORTH ST,Conditional Use Authorization (CUA),12/16/2004,CPC:  Adopted with Conditions:  16923,12/16/2004,Adopted,,Approved
2004.0212C,3369 MISSION ST,Conditional Use Authorization (CUA),6/7/2005,DCP:  withrawn - cu not reqd,6/7/2005,Withdawn,,Withdawn
2004.0213C,52-60 06TH ST,Conditional Use Authorization (CUA),6/10/2004,CPC:  APPR/WC:  16811,6/10/2004,Approved,16811,Approved
2004.0215C,2298 MARKET ST,Conditional Use Authorization (CUA),9/23/2004,CPC:  Approved w/conditions:  16864,9/23/2004,Approved,,Approved
2004.0216D,949 RHODE ISLAND ST,Discretionary Review - Mandatory (DRM),5/7/2004,DCP:  WITHDRAWN,5/7/2004,Withdawn,,Withdawn
2004.0217D,2654 WEBSTER ST,Discretionary Review - Mandatory (DRM),7/22/2004,CPC:  DID NOT TAKE DR / APPROVED,7/22/2004,Approved,,Approved
2004.0218C,5300 DIAMOND HEIGHTS BL,Conditional Use Authorization (CUA),12/11/2008,DCP:  Cancelled,12/11/2008,Cancelled,,Cancelled
2004.0220C,1840 WASHINGTON ST,Conditional Use Authorization (CUA),7/14/2005,CPC:  APPROVED WITH CONDITIONS:  17061,7/14/2005,Approved,,Approved
2004.0226C,194 Park Street,Conditional Use Authorization (CUA),11/9/2006,CPC:  Cancelled,11/9/2006,Cancelled,,Cancelled
2004.0228D,1566 41ST AV,Discretionary Review - Mandatory (DRM),7/2/2004,DCP:  WITHDRAWN,7/2/2004,Withdawn,,Withdawn
2004.0230D,1272 42ND AV,Discretionary Review - Mandatory (DRM),10/21/2004,CPC:  Did not take DR & approved Demo,10/21/2004,Approved,,Approved
2004.0232D,3138 Santiago Street,Discretionary Review - Mandatory (DRM),3/16/2005,DCP:  WITHDRAWN,3/16/2005,Withdawn,,Withdawn
2004.0234C,2917 24TH ST,Conditional Use Authorization (CUA),11/29/2004,CPC:  APPROVED:  16892,11/29/2004,Approved,16892,Approved
2004.0241C,130 CHURCH ST,Conditional Use Authorization (CUA),6/17/2004,CPC:  Approved w/conditions:  16819,6/17/2004,Approved,,Approved
2004.0258C,Arelious Walker Drive,Conditional Use Authorization (CUA),12/19/2006,DCP:  Cancelled,12/19/2006,Cancelled,,Cancelled
2004.0260V,107 ELLSWORTH ST,Variance (VAR),8/17/2004,DCP:  APPR W/C,8/17/2004,Approved,,Approved
2004.0264D,1478 12TH AV,Discretionary Review - Mandatory (DRM),5/6/2004,CPC:  Did not take DR & approved,5/6/2004,Approved,,Approved
2004.0265D,1327 DOUGLASS ST,Discretionary Review - Mandatory (DRM),4/19/2004,DCP:  WITHDRAWN,4/19/2004,Withdawn,,Withdawn
2004.0267C,3237 PIERCE ST,Conditional Use Authorization (CUA),10/7/2004,CPC:  Approved:  16869,10/7/2004,Approved,16869,Approved
2004.0267C,3237 PIERCE ST,Conditional Use Authorization (CUA),10/7/2004,CPC:  APPROVED WITH CONDITIONS:  16869,10/7/2004,Approved,,Approved
2004.0270D,695 ARKANSAS ST,Discretionary Review - Public Initiated (DRP),10/14/2004,CPC:  Take DR and approve w/cond,10/14/2004,Approved,,Approved
2004.0271A,27 ALTA ST,Certificate of Appropriateness (COA),6/24/2004,DCP:  CofA signed by Acting Director,6/24/2004,Approved,,Approved
2004.0272X,83 MCALLISTER ST,Downtown Exception-309 (DNX),8/12/2004,CPC:  APPROVED WITH CONDITIONS:  16853,8/12/2004,Approved,,Approved
2004.0274C,310 TOWNSEND ST,Conditional Use Authorization (CUA),7/14/2005,CPC:  APPR/WC:  17058,7/14/2005,Approved,17058,Approved
2004.0275D,450 FREDERICK STREET,Discretionary Review - Mandatory (DRM),1/26/2006,CPC:  APPR,1/26/2006,Approved,,Approved
2004.0275D_4,450 FREDERICK STREET,Discretionary Review - Public Initiated (DRP),1/26/2006,CPC:  APPR,1/26/2006,Approved,,Approved
2004.0281C,4726 MISSION ST,Conditional Use Authorization (CUA),6/17/2004,CPC:  Approved w/conditions:  16818,6/17/2004,Approved,,Approved
2004.0284D,206 ACADIA ST,Discretionary Review - Mandatory (DRM),9/22/2005,CPC:  No DR & approved,9/22/2005,Approved,,Approved
2004.0285D,646 30TH AV,Discretionary Review - Public Initiated (DRP),9/23/2004,CPC:  DISAPPROVED:  N/A,9/23/2004,Disapproved,N/A,Disapproved
2004.0291D,91 MIGUEL ST,Discretionary Review - Mandatory (DRM),11/29/2004,CPC:  Did not take DR & approved bldg. pe,11/29/2004,Approved,,Approved
2004.0292C,301-305 Clement Street,Conditional Use Authorization (CUA),7/1/2004,CPC:  APPROVED WITH CONDITIONS:  16829,7/1/2004,Approved,,Approved
2004.0296X,631 FOLSOM ST,Downtown Exception-309 (DNX),4/28/2005,CPC:  APPROVED W/CONDITIONS:  16997,4/28/2005,Approved,,Approved
2004.0297C,535 MISSION ST,Conditional Use Authorization (CUA),9/1/2005,CPC:  approved with conditions:  17083,9/1/2005,Approved,,Approved
2004.0297X,535 MISSION ST,Downtown Exception-309 (DNX),9/1/2005,CPC:  Approved with Conditions:  17083,9/1/2005,Approved,,Approved
2004.0299D,2011 09TH AV,Discretionary Review - Public Initiated (DRP),7/22/2004,CPC:  Took DR & approved as Modified,7/22/2004,Approved,,Approved
2004.0299D_4,2011 09TH AV,Discretionary Review - Mandatory (DRM),7/22/2004,CPC:  Took DR & approved as Modified,7/22/2004,Approved,,Approved
2004.0299D_7,2011 09TH AV,Discretionary Review - Mandatory (DRM),7/22/2004,CPC:  Took DR & approved as Modified,7/22/2004,Approved,,Approved
2004.0305C,1111 JUNIPERO SERRA BL,Conditional Use Authorization (CUA),10/27/2005,CPC:  Approved w/conditions:  17132,10/27/2005,Approved,,Approved
2004.0306C,50 THOMAS MORE WY,Conditional Use Authorization (CUA),6/10/2004,CPC:  Approved:  16816,6/10/2004,Approved,16816,Approved
2004.0309C,2949 18TH ST,Conditional Use Authorization (CUA),4/7/2005,CPC:  approve with conditions:  16976,4/7/2005,Approved,,Approved
2004.0309D,2949 18TH ST,Discretionary Review - Mandatory (DRM),4/7/2005,CPC:  no DR / approve with conditions,4/7/2005,Approved,,Approved
2004.0312D,309 CORTLAND AV,Discretionary Review - Public Initiated (DRP),4/22/2004,CPC:  BPA approved w/conditions.,4/22/2004,Approved,,Approved
2004.0328C,949 MARKET ST,Conditional Use Authorization (CUA),2/14/2008,CPC:  WITHDRAWN,2/14/2008,Withdawn,,Withdawn
2004.0329D,2349 FRANKLIN ST,Discretionary Review - Public Initiated (DRP),3/31/2005,DCP:  Cancelled,3/31/2005,Cancelled,,Cancelled
2004.0330D,2423 LEAVENWORTH ST,Discretionary Review - Mandatory (DRM),5/20/2004,CPC:  DID NOT TAKE DR & APPROVED BPA,5/20/2004,Approved,,Approved
2004.0338D,755 22ND AV,Discretionary Review - Mandatory (DRM),9/9/2004,"CPC:  MOTION FAILED, PROJECT APPROVED",9/9/2004,Approved,,Approved
2004.0338D_4,755 22ND AV,Discretionary Review - Mandatory (DRM),9/9/2004,"CPC:  MOTION FAILED, APPROVED PROJECT",9/9/2004,Approved,,Approved
2004.0338D_7,755 22ND AV,Discretionary Review - Mandatory (DRM),9/9/2004,"CPC:  MOTION FAILED, APPROVED PROJECT",9/9/2004,Approved,,Approved
2004.0339C,1800 Van Ness Ave.,Conditional Use Authorization (CUA),1/25/2007,CPC:  APPR W/C:  17364,1/25/2007,Approved,17364,Approved
2004.0341A,851 BEACH ST,Certificate of Appropriateness (COA),8/20/2004,DCP:  C of A signed by Director,8/20/2004,Approved,,Approved
2004.0342D,3579 MISSION ST,Discretionary Review - Mandatory (DRM),2/17/2005,CPC:  No DR / Approve project as proposed,2/17/2005,Approved,,Approved
2004.0343D,1314 LYON ST,Discretionary Review - Public Initiated (DRP),5/5/2005,CPC:  APPROVED,5/5/2005,Approved,,Approved
2004.0347C,2800 LEAVENWORTH ST,Conditional Use Authorization (CUA),11/18/2004,CPC:  Approved with Conditions:  16884,11/18/2004,Approved,,Approved
2004.0348C,500 COLUMBUS AV,Conditional Use Authorization (CUA),7/1/2004,CPC:  approved with conditions:  16832,7/1/2004,Approved,,Approved
2004.0353C,2241 GEARY BL,Conditional Use Authorization (CUA),12/2/2004,CPC:  Approved:  16896,12/2/2004,Approved,16896,Approved
2004.0354C,2546 SAN BRUNO AV,Conditional Use Authorization (CUA),2/6/2006,CPC:  CANCELLED,2/6/2006,Cancelled,,Cancelled
2004.0360D,1422 45TH AV,Discretionary Review - Mandatory (DRM),9/23/2004,CPC:  Took DR & approved w/Modifications,9/23/2004,Approved,,Approved
2004.0360D_4,1422 45TH AV,Discretionary Review - Mandatory (DRM),9/23/2004,CPC:  Took DR & approved w/Modifications,9/23/2004,Approved,,Approved
2004.0361D,184 Majestic Ave,Discretionary Review - Public Initiated (DRP),1/27/2005,CPC:  Took DR & approved w/Modifications,1/27/2005,Approved,,Approved
2004.0362D,388 LISBON STREET,Discretionary Review - Public Initiated (DRP),2/1/2013,DCP:  WITHDRAWN,2/1/2013,Withdawn,,Withdawn
2004.0364D,451 FAXON AV,Discretionary Review - Mandatory (DRM),3/3/2005,CPC:  Do not take DR & approved,3/3/2005,Approved,,Approved
2004.0365D,850 45TH AV,Discretionary Review - Mandatory (DRM),9/2/2004,CPC:  APPROVED,9/2/2004,Approved,,Approved
2004.0365D_4,850 45TH AV,Discretionary Review - Mandatory (DRM),9/2/2004,CPC:  APPROVED,9/2/2004,Approved,,Approved
2004.0367D,40 DAY ST,Discretionary Review - Mandatory (DRM),9/1/2004,DCP:  WITHDRAWN,9/1/2004,Withdawn,,Withdawn
2004.0370C,3640 BALBOA ST,Conditional Use Authorization (CUA),10/28/2004,CPC:  APPROVED WITH CONDITIONS:  16879,10/28/2004,Approved,,Approved
2004.0370C,3640 BALBOA ST,Conditional Use Authorization (CUA),10/28/2004,CPC:  Approved:  16879,10/28/2004,Approved,16879,Approved
2004.0374C,401 UNIVERSITY STREET,Conditional Use Authorization (CUA),9/22/2005,CPC:  DISAPPROVED:  17107,9/22/2005,Disapproved,17107,Disapproved
2004.0376V,241 COLLINGWOOD ST,Variance (VAR),5/26/2004,DCP:  WITHDRAWN,5/26/2004,Withdawn,,Withdawn
2004.0381C,507 DUBOCE AV,Conditional Use Authorization (CUA),7/15/2004,CPC:  Approved w/conditions:  16836,7/15/2004,Approved,,Approved
2004.0387D,266 MAGELLAN AV,Discretionary Review - Public Initiated (DRP),9/23/2004,CPC:  Took DR & approved w/Modifications,9/23/2004,Approved,,Approved
2004.0389D,684 Arkansas St.,Discretionary Review - Public Initiated (DRP),3/25/2005,DCP:  Withdrawn,3/25/2005,Withdawn,,Withdawn
2004.0392A,900 North Point,Certificate of Appropriateness (COA),9/13/2005,DCP:  C of A signed by the Director,9/13/2005,Approved,,Approved
2004.0392C,900 North Point,Conditional Use Authorization (CUA),9/8/2005,CPC:  Approved:  17099,9/8/2005,Approved,17099,Approved
2004.0393C,2443 CLEMENT ST,Conditional Use Authorization (CUA),12/15/2005,CPC:  Approved:  17167,12/15/2005,Approved,17167,Approved
2004.0398D,49 ELK ST,Discretionary Review - Mandatory (DRM),6/6/2005,DCP:  WITHDRAWN,6/6/2005,Withdawn,,Withdawn
2004.0402C,165 Guerrero Street,Conditional Use Authorization (CUA),8/12/2004,CPC:  APPR/WC:  16852,8/12/2004,Approved,16852,Approved
2004.0404D,1609 REVERE AV,Discretionary Review - Mandatory (DRM),8/12/2004,DCP:  WITHDRAWN,8/12/2004,Withdawn,,Withdawn
2004.0421C,4001 JUDAH ST,Conditional Use Authorization (CUA),7/22/2004,CPC:  Approved w/conditions:  16840,7/22/2004,Approved,,Approved
2004.0422D,500 DIVISADERO ST,Discretionary Review - Public Initiated (DRP),8/5/2004,CPC:  APPROVED WITH CONDITIONS,8/5/2004,Approved,,Approved
2004.0424D,331 GIRARD ST,Discretionary Review - Mandatory (DRM),7/15/2004,CPC:  BPAppl. not be approved.,7/15/2004,Approved,,Approved
2004.0433D,2279 20TH AV,Discretionary Review - Mandatory (DRM),7/23/2004,DCP:  WITHDRAWN,7/23/2004,Withdawn,,Withdawn
2004.0438C,3229 MISSION ST,Conditional Use Authorization (CUA),6/24/2004,CPC:  approval w/c:  16826,6/24/2004,Approved,16826,Approved
2004.0458C,566 SOUTH VAN NESS AV,Conditional Use Authorization (CUA),3/3/2005,CPC:  APPR/WC:  16960,3/3/2005,Approved,16960,Approved
2004.0458V,566 SOUTH VAN NESS AV,Variance (VAR),5/24/2005,DCP:  APPR W/C,5/24/2005,Approved,,Approved
2004.0462D,3016 PINE ST,Discretionary Review - Public Initiated (DRP),8/12/2004,CPC:  No DR.  Approved as proposed.,8/12/2004,Approved,,Approved
2004.0463C,470 Clementina St,Conditional Use Authorization (CUA),9/9/2004,CPC:  DISAPPROVED:  16858,9/9/2004,Disapproved,16858,Disapproved
2004.0464C,475 Tehama St,Conditional Use Authorization (CUA),9/9/2004,CPC:  DISAPPROVED:  16859,9/9/2004,Disapproved,16859,Disapproved
2004.0465A,714 22ND ST,Certificate of Appropriateness (COA),8/9/2004,DCP:  C of A signed by Director,8/9/2004,Approved,,Approved
2004.0468D,346 DUNCAN ST,Discretionary Review - Mandatory (DRM),2/22/2005,DCP:  WITHDRAWN,2/22/2005,Withdawn,,Withdawn
2004.0468D_4,346 DUNCAN ST,Discretionary Review - Mandatory (DRM),2/22/2005,DCP:  WITHDRAWN,2/22/2005,Withdawn,,Withdawn
2004.0469C,80 Digby Street,Conditional Use Authorization (CUA),11/27/2006,DCP:  WITHDRAWN,11/27/2006,Withdawn,,Withdawn
2004.0470D,424 TARAVAL ST,Discretionary Review - Mandatory (DRM),6/17/2004,CPC:  Approved,6/17/2004,Approved,,Approved
2004.0478A,57 POST ST,Certificate of Appropriateness (COA),7/27/2004,DCP:  C of A signed by Director,7/27/2004,Approved,,Approved
2004.0479D,10 PORTOLA DR,Discretionary Review - Public Initiated (DRP),10/14/2004,CPC:  Did not take DR & approved Revi.#1,10/14/2004,Approved,,Approved
2004.0480C,1400 GRANT AV,Conditional Use Authorization (CUA),6/24/2004,CPC:  APPROVED W/CONDITIONS:  16824,6/24/2004,Approved,,Approved
2004.0481X,45 LANSING ST,Downtown Exception-309 (DNX),3/16/2006,CPC:  APPR W/C:  17199,3/16/2006,Approved,17199,Approved
2004.0482C,5400 GEARY BL,Conditional Use Authorization (CUA),4/25/2013,CPC:  Approved with Conditions:  18853,4/25/2013,Approved,,Approved
2004.0483C,1214 POLK ST (aka 1220 Polk St),Conditional Use Authorization (CUA),8/5/2004,CPC:  APPROVED W/CONDITIONS:  16846,8/5/2004,Approved,,Approved
2004.0487C,179 SAN CARLOS ST,Conditional Use Authorization (CUA),6/2/2005,CPC:  APPR/WC:  17029,6/2/2005,Approved,17029,Approved
2004.0494D,1419 06TH AV,Discretionary Review - Mandatory (DRM),6/8/2004,DCP:  WITHDRAWN,6/8/2004,Withdawn,,Withdawn
2004.0495D,2142 40TH AV,Discretionary Review - Mandatory (DRM),9/9/2004,CPC:  Did not take DR & approved,9/9/2004,Approved,,Approved
2004.0501C,2000 VAN NESS AV,Conditional Use Authorization (CUA),12/2/2004,CPC:  Approved:  16897,12/2/2004,Approved,16897,Approved
2004.0506D,464 30TH ST,Discretionary Review - Mandatory (DRM),9/9/2004,CPC:  Took DR & approved w/MODIFICATIONS,9/9/2004,Approved,,Approved
2004.0508C,3555 CESAR CHAVEZ ST,Conditional Use Authorization (CUA),4/21/2005,CPC:  APPR/WC:  16992,4/21/2005,Approved,16992,Approved
2004.0509A,51 FEDERAL ST,Certificate of Appropriateness (COA),6/24/2004,DCP:  C of A signed by Acting Director,6/24/2004,Approved,,Approved
2004.0516D,4381 26TH ST,Discretionary Review - Mandatory (DRM),3/3/2005,CPC:  Do not take DR & approved,3/3/2005,Approved,,Approved
2004.0517D,4381 26TH ST,Discretionary Review - Mandatory (DRM),3/3/2005,CPC:  Do not take DR & approved,3/3/2005,Approved,,Approved
2004.0522C,2001 UNION ST,Conditional Use Authorization (CUA),8/12/2004,CPC:  approval with conditions:  16849,8/12/2004,Approved,,Approved
2004.0525C,1800 MISSION ST,Conditional Use Authorization (CUA),5/25/2007,CPC:  WITHDRAWN,5/25/2007,Withdawn,,Withdawn
2004.0526D,785 SAN BRUNO AV,Discretionary Review - Mandatory (DRM),11/29/2004,CPC:  No DR; demo permit approved.,11/29/2004,Approved,,Approved
2004.0531V,109 HOFFMAN AV,Variance (VAR),10/27/2004,DCP:  WITHDRAWN,10/27/2004,Withdawn,,Withdawn
2004.0533C,737 TEHAMA ST,Conditional Use Authorization (CUA),7/28/2005,CPC:  APPR/WC:  17068,7/28/2005,Approved,17068,Approved
2004.0533D,737 TEHAMA ST,Discretionary Review - Mandatory (DRM),5/16/2005,CPC:  approved,5/16/2005,Approved,,Approved
2004.0534D,735 TEHAMA ST,Discretionary Review - Public Initiated (DRP),4/25/2005,CPC:  Cancelled,4/25/2005,Cancelled,,Cancelled
2004.0535D,2059 23RD AV,Discretionary Review - Mandatory (DRM),9/9/2004,CPC:  Took DR & approved w/Modifications,9/9/2004,Approved,,Approved
2004.0535D_4,2059 23RD AV,Discretionary Review - Mandatory (DRM),9/9/2004,CPC:  Took DR & approved w/Modifications,9/9/2004,Approved,,Approved
2004.0536D,1357 WASHINGTON ST,Discretionary Review - Mandatory (DRM),7/8/2004,DCP:  Withdrawn,7/8/2004,Withdawn,,Withdawn
2004.0537D,974 GENEVA AV,Discretionary Review - Mandatory (DRM),8/5/2004,DCP:  WITHDRAWN,8/5/2004,Withdawn,,Withdawn
2004.0539D,1551 JERROLD AV,Discretionary Review - Public Initiated (DRP),8/26/2004,DCP:  Withdrawn,8/26/2004,Withdawn,,Withdawn
2004.0540D,1050 DOLORES ST,Discretionary Review - Mandatory (DRM),9/2/2004,CPC:  Did not take DR & approved Merger.,9/2/2004,Approved,,Approved
2004.0543A,2220 Sacramento Street,Certificate of Appropriateness (COA),12/7/2004,DCP:  CofA appv'd w/conds. by Inter Dir.,12/7/2004,Approved,,Approved
2004.0546C,680 ILLINOIS ST,Conditional Use Authorization (CUA),12/1/2005,CPC:  APPR/WC:  17153,12/1/2005,Approved,17153,Approved
2004.0548C,1450 15TH ST,Conditional Use Authorization (CUA),5/20/2010,DCP:  CANCELLED,5/20/2010,Cancelled,,Cancelled
2004.0548V,1450 15TH ST,Variance (VAR),5/20/2010,DCP:  CANCELLED,5/20/2010,Cancelled,,Cancelled
2004.0549C,1836 NORIEGA ST,Conditional Use Authorization (CUA),2/5/2009,CPC:  Approved w/conditions:  17810,2/5/2009,Approved,,Approved
2004.0550C,562 ARLINGTON ST,Conditional Use Authorization (CUA),9/23/2004,CPC:  Approved w/conditions:  16865,9/23/2004,Approved,,Approved
2004.0551A,201 SANSOME ST,Certificate of Appropriateness (COA),9/8/2004,DCP:  C of A signed by Director,9/8/2004,Approved,,Approved
2004.0551X,201 SANSOME ST,Downtown Exception-309 (DNX),11/18/2004,CPC:  APPROVED WITH CONDITIONS:  16885,11/18/2004,Approved,,Approved
2004.0552X,340 FREMONT ST,Downtown Exception-309 (DNX),6/8/2006,CPC:  APPR W/C:  17267,6/8/2006,Approved,17267,Approved
2004.0557C,1601 LARKIN ST,Conditional Use Authorization (CUA),6/24/2010,CPC:  Disapproved.:  18121,6/24/2010,Disapproved,18121,Disapproved
2004.0560C,787 BRANNAN ST,Conditional Use Authorization (CUA),2/3/2005,CPC:  APPR/WC:  16941,2/3/2005,Approved,16941,Approved
2004.0562A,601 02ND ST,Certificate of Appropriateness (COA),5/8/2007,DCP:  Cancelled,5/8/2007,Cancelled,,Cancelled
2004.0563C,990 COLUMBUS AV,Conditional Use Authorization (CUA),12/1/2005,CPC:  Approved with Conditions:  17151,12/1/2005,Approved,,Approved
2004.0565D,527 CAPITOL AV,Discretionary Review - Mandatory (DRM),6/30/2004,DCP:  WITHDRAWN,6/30/2004,Withdawn,,Withdawn
2004.0569D,73 LUPINE AV,Discretionary Review - Mandatory (DRM),9/23/2004,CPC:  APPROVED -  NO DR:  N/A,9/23/2004,Approved,N/A,Approved
2004.0571D,336 MUNICH ST,Discretionary Review - Mandatory (DRM),4/7/2005,CPC:  Took DR & approved,4/7/2005,Approved,,Approved
2004.0572D,338 MUNICH ST,Discretionary Review - Mandatory (DRM),4/7/2005,CPC:  Took DR & approved,4/7/2005,Approved,,Approved
2004.0574C,1656 SHAFTER AV,Conditional Use Authorization (CUA),1/20/2005,CPC:  APPR/WC:  16931,1/20/2005,Approved,16931,Approved
2004.0575D,1644 DIAMOND ST,Discretionary Review - Mandatory (DRM),9/9/2004,CPC:  Took DR & approved w/Modifications,9/9/2004,Approved,,Approved
2004.0577A,735 MONTGOMERY ST,Certificate of Appropriateness (COA),9/8/2004,DCP:  C of A signed by Director,9/8/2004,Approved,,Approved
2004.0579D,1118  POLK ST,Discretionary Review - Public Initiated (DRP),7/7/2004,DCP:  Withdrawn,7/7/2004,Withdawn,,Withdawn
2004.0580D,1475 QUESADA AV,Discretionary Review - Mandatory (DRM),10/8/2004,CPC:  Withdrawn,10/8/2004,Withdawn,,Withdawn
2004.0581D,1479 QUESADA AV,Discretionary Review - Public Initiated (DRP),10/8/2004,CPC:  Withdrawn,10/8/2004,Withdawn,,Withdawn
2004.0585D,20 CRAGMONT AV,Discretionary Review - Mandatory (DRM),10/12/2004,DCP:  WITHDRAWN,10/12/2004,Withdawn,,Withdawn
2004.0586D,234 VALLEY ST,Discretionary Review - Mandatory (DRM),3/2/2005,DCP:  WITHDRAWN,3/2/2005,Withdawn,,Withdawn
2004.0587D,91 MIGUEL ST,Discretionary Review - Mandatory (DRM),11/29/2004,CPC:  Did not take DR & approved budg. pe,11/29/2004,Approved,,Approved
2004.0588C,255 07TH ST,Conditional Use Authorization (CUA),6/7/2007,CPC:  APPR W/C:  17442,6/7/2007,Approved,17442,Approved
2004.0590D,251 28TH AV,Discretionary Review - Mandatory (DRM),6/2/2005,CPC:  APPROVED WITH MODIFICATIONS,6/2/2005,Approved,,Approved
2004.0598D,2740 FILBERT ST,Discretionary Review - Public Initiated (DRP),9/23/2004,CPC:  APPROVED (NO D.R.):  N/A,9/23/2004,Approved,N/A,Approved
2004.0599C,1022 GILMAN AV,Conditional Use Authorization (CUA),6/23/2005,CPC:  approved with conditions:  17046,6/23/2005,Approved,,Approved
2004.0601C,299 Dolores Street,Conditional Use Authorization (CUA),2/24/2005,CPC:  Approved w/conditions:  16950,2/24/2005,Approved,,Approved
2004.0603C,Noe St. Medical Office Building,Conditional Use Authorization (CUA),5/23/2013,CPC:  Approved:  18892,5/23/2013,Approved,18892,Approved
2004.0604D,375 ALABAMA ST,Discretionary Review - Public Initiated (DRP),11/30/2004,CPC:  Approved,11/30/2004,Approved,,Approved
