RECORDID,ROW_INDEX,Review_Type,PARENTRECORDID,DATECLOSED,closedate
2021-006127ENV-02,1,Categorical Exemption-Determination of Historic Resource,2021-006127PRJ,6/14/2022,6/14/2022
2021-008237ENV,1,Categorical Exemption-Stamp,2021-008237PRJ,8/23/2021,8/23/2021
2021-008421ENV,1,Public Project Exemption,2021-008421PRJ,8/30/2021,8/30/2021
2021-008435ENV,1,Public Project Exemption,2021-008435PRJ,8/30/2021,8/30/2021
2021-008525ENV,1,Categorical Exemption-Stamp,2021-008525PRJ,10/8/2021,10/8/2021
2021-006354ENV,1,Public Project Exemption,2021-006354PRJ,7/2/2021,7/2/2021
2021-006433ENV,1,Categorical Exemption-Determination of Historic Resource,2021-006433PRJ,6/14/2022,6/14/2022
2021-006596ENV,1,Public Project Exemption,2021-006596PRJ,7/12/2021,7/12/2021
2021-006602ENV,1,Categorical Exemption-Stamp,2021-006602PRJ,8/31/2021,8/31/2021
2021-006620ENV,1,Categorical Exemption-Stamp,2021-006620PRJ,7/12/2021,7/12/2021
2021-006636ENV,1,Public Project Exemption,2021-006636PRJ,10/8/2021,10/8/2021
2021-006650ENV,1,Public Project Exemption,2021-006650PRJ,7/20/2021,7/20/2021
2021-006774ENV,1,Categorical Exemption-Stamp,2021-006774PRJ,7/27/2021,7/27/2021
2021-006933ENV,1,Public Project Exemption,2021-006933PRJ,8/9/2021,8/9/2021
2021-007051ENV,1,Public Project Exemption,2021-007051PRJ,8/9/2021,8/9/2021
2021-007202ENV,1,Public Project Exemption,2021-007202PRJ,8/9/2021,8/9/2021
2021-007207ENV,1,Public Project Exemption,2021-007207PRJ,8/9/2021,8/9/2021
2021-007222ENV,1,Categorical Exemption-Stamp,2021-007222PRJ,9/23/2021,9/23/2021
2021-007227ENV,1,Public Project Exemption,2021-007227PRJ,10/22/2021,10/22/2021
2021-007237ENV,1,Public Project Exemption,2021-007237PRJ,8/9/2021,8/9/2021
2021-007301ENV,1,Categorical Exemption-Stamp,2021-007301PRJ,11/9/2021,11/9/2021
2021-007304ENV,1,Categorical Exemption-Stamp,2021-007304PRJ,11/9/2021,11/9/2021
2021-007307ENV,1,Public Project Exemption,2021-007307PRJ,8/9/2021,8/9/2021
2021-007314ENV,1,Categorical Exemption-Determination of Historic Resource,2021-007314PRJ,6/14/2022,6/14/2022
2021-007390ENV,1,Public Project Exemption,2021-007390PRJ,8/3/2021,8/3/2021
2021-007465ENV,1,Categorical Exemption-Determination of Historic Resource,2021-007465PRJ,6/14/2022,6/14/2022
2021-007478ENV,1,Public Project Exemption,2021-007478PRJ,8/3/2021,8/3/2021
2021-007609ENV,1,Public Project Exemption,,7/28/2021,7/28/2021
2021-007623ENV,1,Categorical Exemption-Stamp,2021-007623PRJ,10/22/2021,10/22/2021
2021-008006ENV,1,Public Project Exemption,2021-008006PRJ,8/13/2021,8/13/2021
2021-008065ENV,1,Public Project Exemption,2021-008065PRJ,8/13/2021,8/13/2021
2021-008131ENV,1,Public Project Exemption,2021-008131PRJ,8/30/2021,8/30/2021
2021-008626ENV,1,Categorical Exemption-Stamp,2021-008626PRJ,9/13/2021,9/13/2021
2021-008765ENV,1,Public Project Exemption,2021-008765PRJ,9/13/2021,9/13/2021
2021-008942ENV,1,Public Project Exemption,2021-008942PRJ,9/13/2021,9/13/2021
2021-009061ENV,1,Public Project Exemption,2021-009061PRJ,9/13/2021,9/13/2021
2021-009064ENV,1,Public Project Exemption,2021-009064PRJ,9/13/2021,9/13/2021
2021-009359ENV,1,Public Project Exemption,2021-009359PRJ,9/15/2021,9/15/2021
2021-009485ENV,1,Categorical Exemption-Determination of Historic Resource,2021-009485PRJ,1/13/2022,1/13/2022
2021-009603ENV,1,Public Project Exemption,2021-009603PRJ,9/23/2021,9/23/2021
2021-009757ENV,1,Categorical Exemption-Stamp,2021-009757PRJ,10/17/2021,10/17/2021
2021-009870ENV,1,Categorical Exemption-Determination of Historic Resource,2021-009870PRJ,6/14/2022,6/14/2022
2021-010017ENV,1,Categorical Exemption-Class 32,2021-010017PRJ,6/28/2022,6/28/2022
2021-010106ENV,1,Public Project Exemption,2021-010106PRJ,10/17/2021,10/17/2021
2021-010115ENV,1,Public Project Exemption,2021-010115PRJ,10/17/2021,10/17/2021
2021-010127ENV,1,Public Project Exemption,,10/17/2021,10/17/2021
2021-010367ENV,1,Public Project Exemption,2021-010367PRJ,10/17/2021,10/17/2021
2021-010371ENV,1,Public Project Exemption,2021-010371PRJ,10/18/2021,10/18/2021
2021-010521ENV,1,Public Project Exemption,,10/17/2021,10/17/2021
2021-010605ENV,1,Categorical Exemption-Determination of Historic Resource,2021-010605PRJ,6/14/2022,6/14/2022
2021-010789ENV,1,Categorical Exemption-Stamp,2021-010789PRJ,5/5/2022,5/5/2022
2021-010794ENV,1,Public Project Exemption,2021-010794PRJ,11/9/2021,11/9/2021
2021-010984ENV,1,Public Project Exemption,2021-010984PRJ,11/9/2021,11/9/2021
2021-010994ENV,1,Categorical Exemption-Determination of Historic Resource,2021-010994PRJ,6/3/2022,6/3/2022
2021-011043ENV,1,Public Project Exemption,2021-011043PRJ,11/9/2021,11/9/2021
2021-011087ENV,1,Public Project Exemption,2021-011087PRJ,11/10/2021,11/10/2021
2021-011122ENV,0,Categorical Exemption-Stamp,2021-011122PRJ,6/27/2022,6/27/2022
2021-011284ENV,1,Public Project Exemption,2021-011284PRJ,7/8/2020,7/8/2020
2021-011467ENV,1,Public Project Exemption,,11/10/2021,11/10/2021
2021-011567ENV,1,Public Project Exemption,2021-011567PRJ,11/17/2021,11/17/2021
2021-011666ENV,1,Categorical Exemption-Stamp,2021-011666PRJ,11/23/2021,11/23/2021
2021-011691ENV,1,Public Project Exemption,2021-011691PRJ,11/23/2021,11/23/2021
2021-012569ENV,1,Categorical Exemption-Determination of Historic Resource Impact,2021-012569PRJ,5/31/2022,5/31/2022
2022-000708ENV,1,Categorical Exemption-Determination of Historic Resource,2022-000708PRJ,10/5/2022,10/5/2022
2022-000842ENV,1,Public Project Exemption,,11/10/2022,11/10/2022
2022-006664ENV,1,Categorical Exemption-Certificate,2022-006664PRJ,9/15/2022,9/15/2022
2022-009297ENV-02,1,Initial Study-Negative Declaration,2022-009297PRJ,12/14/2022,12/14/2022
2022-010348ENV,1,Public Project Exemption,2022-010348PRJ,11/10/2022,11/10/2022
2022-010955ENV,1,Public Project Exemption,2022-010955PRJ,11/10/2022,11/10/2022
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
,,,,,//
